"","x"
"1",114.639300715386
"2",106.331513138575
"3",94.8040767508633
"4",83.6951889227547
"5",115.9639961001
"6",82.8742313746077
"7",105.443406073856
"8",65.3042526836102
"9",97.0577409107714
"10",93.1944206681696
"11",124.50998904471
"12",51.7839054637387
"13",99.8460692937714
"14",91.1148319929846
"15",98.5951751120586
"16",129.281097856235
"17",122.728392156337
"18",143.264168288746
"19",117.141014331956
"20",90.7867939473426
"21",111.422347307801
"22",98.0413650568226
"23",136.794597653297
"24",104.107921460669
"25",63.51050551205
"26",115.740838107852
"27",85.5178535433791
"28",96.2318978247202
"29",154.948038324867
"30",84.8550787490448
"31",110.047647434402
"32",128.479513353136
"33",92.6674237284362
"34",97.5299146784175
"35",101.848100216404
"36",105.054280702177
"37",78.6106910200672
"38",84.23257534026
"39",105.42197989933
"40",145.938746704345
"41",69.3766321470679
"42",138.711481531147
"43",126.999581698135
"44",97.3041891294754
"45",52.5605869063655
"46",76.0475595479478
"47",96.1965078712429
"48",143.907031466307
"49",94.8169558720395
"50",60.8354499011218
"51",101.573816884528
"52",126.718757925045
"53",94.3967190713511
"54",107.033338911678
"55",106.326984964021
"56",63.7843007610589
"57",95.0554631239935
"58",78.8049178447115
"59",71.9477086480923
"60",98.4281299894375
"61",84.9904496653745
"62",101.952341607233
"63",83.4663650964075
"64",100.449571993296
"65",74.4122022072786
"66",84.1009163350185
"67",100.846113021335
"68",98.4851037122402
"69",120.374867924789
"70",76.8633288391488
"71",98.2226140914521
"72",93.3118018269765
"73",76.239716418463
"74",97.0982630542163
"75",81.6507960329737
"76",101.723855620094
"77",85.4010668640896
"78",81.5056213013518
"79",77.0089202823023
"80",112.909854469929
"81",111.641838053073
"82",101.331871336338
"83",116.45653366161
"84",82.2549553393803
"85",104.906484252036
"86",107.93826551955
"87",100.425163125726
"88",90.5744064675863
"89",90.4895703418981
"90",94.4971573648695
"91",53.6561552233374
"92",112.259913527802
"93",102.428511786469
"94",69.6270317399209
"95",104.178296324289
"96",119.472190400042
"97",86.8490004906616
"98",93.9264682297868
"99",102.887967721085
"100",120.459846040853
